Date,Month,Bottom,Season,Lat,Lon,Mesh size (mm),Distcosta (km),Depth (m),Estado
7/26/2012,7,Gravel,Winter,-5.761015,-35.067149,40,14.4,19.5,RN
7/26/2012,7,Gravel,Winter,-5.751195,-35.069449,40,14.7,18.7,RN
7/26/2012,7,Sand,Winter,-5.773353,-35.133566,40,6.8,10.9,RN
7/26/2012,7,Sand,Winter,-5.763602,-35.135508,40,6.7,10.5,RN
9/18/2012,9,Rock/reef,Winter,-6.362318,-34.927846,45,10.5,19.5,RN
9/18/2012,9,Rock/reef,Winter,-6.354323,-34.932128,45,10.5,18,RN
9/18/2012,9,Rock/reef,Winter,-6.345492,-34.934341,45,10.6,21,RN
9/27/2012,9,Gravel,Winter,-5.190085,-35.258669,45,22.7,16.5,RN
9/27/2012,9,Gravel,Winter,-5.182992,-35.264905,45,22.3,15.5,RN
11/6/2012,11,Rock/reef,Spring,-5.599662,-35.099091,80,14.1,45,RN
11/6/2012,11,Gravel,Spring,-5.597438,-35.101931,40,13.8,32,RN
1/29/2013,1,Rock/reef,Summer,-5.872186,-34.967177,80,23.3,52,RN
1/29/2013,1,Rock/reef,Summer,-5.869362,-34.974056,40,22.6,48,RN
2/7/2013,2,Mud,Summer,-5.679449,-35.188747,80,3,11,RN
2/7/2013,2,Gravel,Summer,-5.679359,-35.146415,40,7.7,14,RN
2/27/2013,2,Mud,Summer,-6.172182,-35.05061,90,5,18,RN
2/27/2013,2,Mud,Summer,-6.16398,-35.058868,90,4.2,18.5,RN
3/13/2013,3,Rock/reef,Summer,-4.810733,-36.764079,45,20.3,15.05,RN
3/19/2013,3,Gravel,Summer,-5.64657,-35.150236,45,7.5,14.3,RN
3/19/2013,3,Gravel,Summer,-5.645803,-35.158411,45,6.6,12.9,RN
3/19/2013,3,Gravel,Summer,-5.644795,-35.165109,45,5.8,12.1,RN
3/20/2013,3,Gravel,Summer,-5.631196,-35.14646,45,7.9,15.2,RN
3/20/2013,3,Gravel,Summer,-5.622171,-35.1499,45,8.4,16,RN
3/20/2013,3,Gravel,Summer,-5.615178,-35.153853,45,8.1,13.5,RN
3/20/2013,3,Rock/reef,Summer,-5.559635,-35.070995,45,19.1,22.3,RN
3/20/2013,3,Rock/reef,Summer,-5.56836,-35.070975,45,18.5,22.5,RN
3/20/2013,3,Rock/reef,Summer,-5.561657,-35.072711,45,18.8,22,RN
3/20/2013,3,Rock/reef,Summer,-4.904045,-36.554808,45,20.3,13.125,RN
3/21/2013,3,Mud,Summer,-4.835567,-36.657406,60,27.9,22.4,RN
3/22/2013,3,Rock/reef,Summer,-4.932083,-36.644326,60,17.5,13.89,RN
